#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
PRPF6	NHP2L1	1845854	1842526	9606.ENSP00000266079	9606.ENSP00000215956	0	0	0	0	0.069	0.926	0.900	0.244	0.994
SNRPB	CDC5L	1860980	1855491	9606.ENSP00000412566	9606.ENSP00000360532	0	0	0	0	0.055	0.945	0.900	0.069	0.994
PPP2R5C	PPP2R2A	1860968	1850707	9606.ENSP00000412324	9606.ENSP00000325074	0	0	0	0	0.137	0.805	0.900	0.693	0.994
SNRPE	SF3B1	1860230	1851836	9606.ENSP00000400591	9606.ENSP00000335321	0	0	0	0	0.051	0.949	0.900	0.083	0.994
SUPT3H	TAF10	1855487	1848061	9606.ENSP00000360515	9606.ENSP00000299424	0	0	0	0	0.053	0.931	0.900	0.273	0.994
HDAC1	SMARCA5	1855935	1846833	9606.ENSP00000362649	9606.ENSP00000283131	0	0	0	0	0.126	0.804	0.900	0.653	0.993
RBBP4	SMARCA5	1855919	1846833	9606.ENSP00000362592	9606.ENSP00000283131	0	0	0	0	0.305	0.833	0.900	0.517	0.993
PRPF4	SF3B1	1856059	1851836	9606.ENSP00000363313	9606.ENSP00000335321	0	0	0	0	0.073	0.931	0.900	0.086	0.993
PPP2R2B	PPP2R1B	1851897	1849409	9606.ENSP00000336591	9606.ENSP00000311344	0	0	0	0	0.221	0.902	0.800	0.640	0.993
WDR5	RBBP5	1853715	1845562	9606.ENSP00000351446	9606.ENSP00000264515	0	0	0	0.648	0.116	0.903	0.900	0.956	0.993
TAF5	KAT2A	1855115	1843061	9606.ENSP00000358854	9606.ENSP00000225916	0	0	0	0	0.103	0.842	0.900	0.600	0.993
BAZ1A	CHRAC1	1853982	1842807	9606.ENSP00000353458	9606.ENSP00000220913	0	0	0	0	0.055	0.475	0.900	0.889	0.993
XAB2	SNRPD2	1853674	1852586	9606.ENSP00000351137	9606.ENSP00000342374	0	0	0	0	0.051	0.920	0.900	0.142	0.992
SNRPE	EFTUD2	1860230	1859618	9606.ENSP00000400591	9606.ENSP00000392094	0	0	0	0	0.073	0.919	0.900	0.156	0.992
ASH2L	MLL3	1852381	1845086	9606.ENSP00000340896	9606.ENSP00000262189	0	0	0	0	0.106	0.648	0.900	0.779	0.992
TADA2A	TAF9	1843019	1842675	9606.ENSP00000225396	9606.ENSP00000217893	0	0	0	0	0.045	0.669	0.900	0.781	0.992
HDAC1	MTA2	1855935	1846587	9606.ENSP00000362649	9606.ENSP00000278823	0	0	0	0	0.102	0.833	0.900	0.509	0.991
SNRPB	XAB2	1860980	1853674	9606.ENSP00000412566	9606.ENSP00000351137	0	0	0	0	0.072	0.916	0.900	0.092	0.991
SMARCA1	BPTF	1855408	1848931	9606.ENSP00000360163	9606.ENSP00000307208	0	0	0	0	0.099	0.723	0.900	0.708	0.991
EFTUD2	LSM6	1859618	1847758	9606.ENSP00000392094	9606.ENSP00000296581	0	0	0	0	0.066	0.880	0.900	0.333	0.991
RSF1	SMARCA5	1849435	1846833	9606.ENSP00000311513	9606.ENSP00000283131	0	0	0	0	0.135	0.360	0.900	0.845	0.990
PPP2R5D	PPP2R5A	1861336	1844916	9606.ENSP00000417963	9606.ENSP00000261461	0	0	0	0.973	0.073	0.902	0.900	0.689	0.990
MLL	ASH2L	1862045	1852381	9606.ENSP00000436786	9606.ENSP00000340896	0	0	0	0	0.053	0.664	0.900	0.740	0.990
DPY30	SETD1B	1847527	1845925	9606.ENSP00000295066	9606.ENSP00000267197	0	0	0	0	0	0.782	0.900	0.599	0.990
ASH2L	MLL2	1852381	1848242	9606.ENSP00000340896	9606.ENSP00000301067	0	0	0	0	0.060	0.664	0.900	0.734	0.990
EHMT2	HDAC1	1856323	1855935	9606.ENSP00000364687	9606.ENSP00000362649	0.065	0	0	0	0.073	0.691	0.900	0.714	0.990
TBP	KAT2A	1843249	1843061	9606.ENSP00000230354	9606.ENSP00000225916	0	0	0	0	0.072	0.534	0.900	0.796	0.990
SNRPB	EFTUD2	1860980	1859618	9606.ENSP00000412566	9606.ENSP00000392094	0	0	0	0	0.204	0.873	0.900	0.165	0.990
PPP2R5C	PPP2R5E	1860968	1852023	9606.ENSP00000412324	9606.ENSP00000337641	0	0	0	0.972	0.130	0.902	0.900	0.803	0.990
MLL	RBBP5	1862045	1845562	9606.ENSP00000436786	9606.ENSP00000264515	0	0	0	0	0.113	0.590	0.900	0.775	0.990
HDAC2	MTA1	1861837	1851603	9606.ENSP00000430432	9606.ENSP00000333633	0	0	0	0	0.060	0.833	0.900	0.403	0.989
PPP2CA	PPP2R2B	1861358	1851897	9606.ENSP00000418447	9606.ENSP00000336591	0	0	0	0	0.130	0.710	0.900	0.626	0.989
RBBP5	MLL3	1845562	1845086	9606.ENSP00000264515	9606.ENSP00000262189	0	0	0	0	0.129	0.568	0.900	0.761	0.989
SNRPB	SF3B1	1860980	1851836	9606.ENSP00000412566	9606.ENSP00000335321	0	0	0	0	0.051	0.879	0.900	0.174	0.989
MLL2	RBBP5	1848242	1845562	9606.ENSP00000301067	9606.ENSP00000264515	0	0	0	0	0.101	0.590	0.900	0.723	0.988
HDAC1	KAT2A	1855935	1843061	9606.ENSP00000362649	9606.ENSP00000225916	0	0	0	0	0.121	0.474	0.900	0.779	0.988
PPP2CA	PPP2R3B	1861358	1857883	9606.ENSP00000418447	9606.ENSP00000375080	0	0	0	0	0.092	0.730	0.900	0.554	0.987
TAF1	ASF1A	1846471	1843214	9606.ENSP00000276072	9606.ENSP00000229595	0	0	0	0	0.054	0.983	0	0.289	0.987
TAF6	KAT2A	1860193	1843061	9606.ENSP00000399982	9606.ENSP00000225916	0	0	0	0	0.106	0.703	0.900	0.590	0.987
HDAC2	KAT2A	1861837	1843061	9606.ENSP00000430432	9606.ENSP00000225916	0	0	0	0	0.121	0.474	0.900	0.763	0.987
HDAC2	MTA2	1861837	1846587	9606.ENSP00000430432	9606.ENSP00000278823	0	0	0	0	0.060	0.833	0.900	0.311	0.987
WDR5	TADA2A	1853715	1843019	9606.ENSP00000351446	9606.ENSP00000225396	0	0	0	0	0.071	0.789	0.900	0.407	0.986
WDR5	KAT2A	1853715	1843061	9606.ENSP00000351446	9606.ENSP00000225916	0	0	0	0	0.096	0.804	0.900	0.327	0.986
SUPT3H	TAF5	1855487	1855115	9606.ENSP00000360515	9606.ENSP00000358854	0	0	0	0	0.055	0.805	0.900	0.356	0.986
RBBP4	BPTF	1855919	1848931	9606.ENSP00000362592	9606.ENSP00000307208	0	0	0	0	0.063	0.686	0.900	0.557	0.985
TAF5	TADA3	1855115	1848982	9606.ENSP00000358854	9606.ENSP00000307684	0	0	0	0	0.067	0.670	0.900	0.587	0.985
TAF6	SUPT3H	1860193	1855487	9606.ENSP00000399982	9606.ENSP00000360515	0	0	0	0	0.066	0.717	0.900	0.502	0.985
CCDC101	TAF9	1849846	1842675	9606.ENSP00000316114	9606.ENSP00000217893	0	0	0	0	0.064	0.516	0.900	0.707	0.984
CCDC101	TAF10	1849846	1848061	9606.ENSP00000316114	9606.ENSP00000299424	0	0	0	0	0.055	0.698	0.900	0.505	0.984
HDAC2	EHMT2	1861837	1856323	9606.ENSP00000430432	9606.ENSP00000364687	0.065	0	0	0	0.073	0.581	0.900	0.649	0.984
RBBP4	SMARCA1	1855919	1855408	9606.ENSP00000362592	9606.ENSP00000360163	0	0	0	0	0.274	0.633	0.900	0.469	0.984
HIST2H3A	EHMT2	1859040	1856323	9606.ENSP00000385479	9606.ENSP00000364687	0	0	0	0	0.058	0.690	0.900	0.526	0.984
WDR5	TADA3	1853715	1848982	9606.ENSP00000351446	9606.ENSP00000307684	0	0	0	0	0.058	0.781	0.900	0.278	0.983
TAF10	TADA2A	1848061	1843019	9606.ENSP00000299424	9606.ENSP00000225396	0	0	0	0	0.053	0.684	0.900	0.522	0.983
RBBP4	HAT1	1855919	1845481	9606.ENSP00000362592	9606.ENSP00000264108	0	0	0	0	0.268	0.960	0	0.464	0.983
WDR5	DPY30	1853715	1847527	9606.ENSP00000351446	9606.ENSP00000295066	0	0	0	0	0.054	0.357	0.900	0.749	0.982
HIST2H3A	KAT2A	1859040	1843061	9606.ENSP00000385479	9606.ENSP00000225916	0	0	0	0	0.054	0.676	0.900	0.503	0.982
DPY30	MLL3	1847527	1845086	9606.ENSP00000295066	9606.ENSP00000262189	0	0	0	0	0	0.336	0.900	0.763	0.982
TAF6	TADA3	1860193	1848982	9606.ENSP00000399982	9606.ENSP00000307684	0	0	0	0	0.095	0.600	0.900	0.564	0.982
PPP2R3B	PPP2R1B	1857883	1849409	9606.ENSP00000375080	9606.ENSP00000311344	0	0	0	0	0.074	0.635	0.900	0.505	0.981
HDAC1	NCOR1	1855935	1846039	9606.ENSP00000362649	9606.ENSP00000268712	0	0	0	0	0.072	0.312	0.900	0.736	0.980
H3F3A	H3F3B	1854454	1844327	9606.ENSP00000355778	9606.ENSP00000254810	0	0	0	0.989	0.122	0.800	0.900	0.416	0.980
DPY30	SETD1A	1847527	1845165	9606.ENSP00000295066	9606.ENSP00000262519	0	0	0	0	0	0.348	0.900	0.715	0.979
SMARCA5	KAT2A	1846833	1843061	9606.ENSP00000283131	9606.ENSP00000225916	0	0	0	0	0.126	0.197	0.900	0.747	0.979
RBBP4	NCOR1	1855919	1846039	9606.ENSP00000362592	9606.ENSP00000268712	0	0	0	0	0	0.641	0.900	0.443	0.978
EFTUD2	NHP2L1	1859618	1842526	9606.ENSP00000392094	9606.ENSP00000215956	0.309	0	0	0	0.171	0.367	0.900	0.487	0.978
TAF5	TADA2A	1855115	1843019	9606.ENSP00000358854	9606.ENSP00000225396	0	0	0	0	0.092	0.690	0.900	0.324	0.978
SMARCA1	CECR2	1855408	1845180	9606.ENSP00000360163	9606.ENSP00000262608	0	0	0	0	0.126	0.401	0.900	0.632	0.978
HDAC2	HDAC1	1861837	1855935	9606.ENSP00000430432	9606.ENSP00000362649	0	0	0.527	0.984	0	0.774	0.900	0.918	0.977
SMARCA5	CECR2	1846833	1845180	9606.ENSP00000283131	9606.ENSP00000262608	0	0	0	0	0.126	0.464	0.900	0.575	0.977
SMARCA1	SMARCA5	1855408	1846833	9606.ENSP00000360163	9606.ENSP00000283131	0	0	0.527	0.984	0	0.774	0.900	0.839	0.977
MTA1	MTA2	1851603	1846587	9606.ENSP00000333633	9606.ENSP00000278823	0	0	0	0.968	0.053	0.780	0.900	0.659	0.977
BPTF	HMGXB4	1848931	1842544	9606.ENSP00000307208	9606.ENSP00000216106	0	0	0	0	0.048	0.774	0.900	0.054	0.977
SMARCC2	SMARCC1	1845915	1844297	9606.ENSP00000267064	9606.ENSP00000254480	0	0	0	0.964	0	0.774	0.900	0.918	0.977
SMARCA1	CHRAC1	1855408	1842807	9606.ENSP00000360163	9606.ENSP00000220913	0	0	0	0	0.050	0.292	0.900	0.699	0.977
RBBP4	HMGXB4	1855919	1842544	9606.ENSP00000362592	9606.ENSP00000216106	0	0	0	0	0	0.774	0.900	0.045	0.976
PPP2R1A	PPP2R1B	1850680	1849409	9606.ENSP00000324804	9606.ENSP00000311344	0	0	0	0.987	0	0.774	0.900	0.626	0.976
RBBP7	RBBP4	1857150	1855919	9606.ENSP00000369424	9606.ENSP00000362592	0	0	0	0.988	0	0.774	0.900	0.759	0.976
RBBP7	SMARCA5	1857150	1846833	9606.ENSP00000369424	9606.ENSP00000283131	0	0	0	0	0.369	0.384	0.900	0.469	0.976
MLL2	DPY30	1848242	1847527	9606.ENSP00000301067	9606.ENSP00000295066	0	0	0	0	0	0.205	0.900	0.731	0.976
HDAC2	HIST2H3A	1861837	1859040	9606.ENSP00000430432	9606.ENSP00000385479	0.309	0	0	0	0.053	0.361	0.900	0.504	0.975
PPP2R2A	PPP2R5A	1850707	1844916	9606.ENSP00000325074	9606.ENSP00000261461	0	0	0	0	0.102	0.175	0.900	0.710	0.975
TAF2	KAT2A	1856824	1843061	9606.ENSP00000367406	9606.ENSP00000225916	0	0	0	0	0.171	0.647	0.900	0.270	0.975
HIST2H3A	HDAC1	1859040	1855935	9606.ENSP00000385479	9606.ENSP00000362649	0.309	0	0	0	0.053	0.361	0.900	0.512	0.975
TAF6	TADA2A	1860193	1843019	9606.ENSP00000399982	9606.ENSP00000225396	0	0	0	0	0.092	0.672	0.900	0.250	0.974
PPP2R5C	PPP2R5A	1860968	1844916	9606.ENSP00000412324	9606.ENSP00000261461	0	0	0	0.971	0.112	0.723	0.900	0.902	0.974
TAF1L	TAF1	1861354	1846471	9606.ENSP00000418379	9606.ENSP00000276072	0	0	0	0.988	0.182	0.706	0.900	0.650	0.974
TAF6	CCDC101	1860193	1849846	9606.ENSP00000399982	9606.ENSP00000316114	0	0	0	0	0.053	0.540	0.900	0.475	0.974
HDAC2	NCOR1	1861837	1846039	9606.ENSP00000430432	9606.ENSP00000268712	0	0	0	0	0.072	0.312	0.900	0.639	0.973
HDAC1	TBP	1855935	1843249	9606.ENSP00000362649	9606.ENSP00000230354	0.063	0	0	0	0.056	0.360	0.900	0.597	0.973
TAF5	CCDC101	1855115	1849846	9606.ENSP00000358854	9606.ENSP00000316114	0	0	0	0	0.058	0.516	0.900	0.492	0.973
HIST2H3A	SETD1B	1859040	1845925	9606.ENSP00000385479	9606.ENSP00000267197	0	0	0	0	0.066	0.496	0.900	0.504	0.973
HIST2H3A	SETD1A	1859040	1845165	9606.ENSP00000385479	9606.ENSP00000262519	0	0	0	0	0.066	0.496	0.900	0.504	0.973
WDR5	CCDC101	1853715	1849846	9606.ENSP00000351446	9606.ENSP00000316114	0	0	0	0	0.057	0.579	0.900	0.377	0.972
SMARCA1	SMARCC1	1855408	1844297	9606.ENSP00000360163	9606.ENSP00000254480	0	0	0	0	0.351	0.870	0	0.695	0.972
WDR5	WDR82	1853715	1847739	9606.ENSP00000351446	9606.ENSP00000296490	0	0	0.491	0.737	0.073	0.602	0.900	0.814	0.972
LSM6	PRPF19	1847758	1843119	9606.ENSP00000296581	9606.ENSP00000227524	0	0	0	0	0.124	0.635	0.900	0.249	0.972
HIST2H3A	RBBP7	1859040	1857150	9606.ENSP00000385479	9606.ENSP00000369424	0	0	0	0	0.055	0.506	0.900	0.438	0.970
POLE3	CHD1L	1856055	1854989	9606.ENSP00000363284	9606.ENSP00000358262	0	0	0	0	0.098	0.683	0.900	0.086	0.970
TAF7	TADA3	1849570	1848982	9606.ENSP00000312709	9606.ENSP00000307684	0	0	0	0	0.062	0.671	0.900	0.170	0.970
TADA3	TAF1	1848982	1846471	9606.ENSP00000307684	9606.ENSP00000276072	0	0	0	0	0.086	0.937	0	0.521	0.970
HIST2H3A	RBBP4	1859040	1855919	9606.ENSP00000385479	9606.ENSP00000362592	0	0	0	0	0.055	0.506	0.900	0.438	0.970
CXXC1	DPY30	1859496	1847527	9606.ENSP00000390475	9606.ENSP00000295066	0	0	0	0	0.054	0.596	0.900	0.319	0.970
POLE3	SMARCA5	1856055	1846833	9606.ENSP00000363284	9606.ENSP00000283131	0	0	0	0	0.098	0.867	0	0.770	0.970
RBBP4	BAZ1A	1855919	1853982	9606.ENSP00000362592	9606.ENSP00000353458	0	0	0	0	0.084	0.540	0.900	0.231	0.963
TAF1	TADA2A	1846471	1843019	9606.ENSP00000276072	9606.ENSP00000225396	0	0	0	0	0.115	0.922	0	0.502	0.962
TAF7	KAT2A	1849570	1843061	9606.ENSP00000312709	9606.ENSP00000225916	0	0	0	0	0.167	0.452	0.900	0.243	0.960
SMARCA5	TBP	1846833	1843249	9606.ENSP00000283131	9606.ENSP00000230354	0	0	0	0	0.065	0.264	0.900	0.481	0.959
MLL	HIST2H3A	1862045	1859040	9606.ENSP00000436786	9606.ENSP00000385479	0	0	0	0	0.054	0.481	0.900	0.279	0.959
PPP2R5D	PPP2R5E	1861336	1852023	9606.ENSP00000417963	9606.ENSP00000337641	0	0	0	0.976	0.073	0.585	0.900	0.898	0.959
PPP2R5D	PPP2R2D	1861336	1860192	9606.ENSP00000417963	9606.ENSP00000399970	0	0	0	0	0.102	0.805	0.360	0.676	0.959
PPP2R5D	PPP2R2A	1861336	1850707	9606.ENSP00000417963	9606.ENSP00000325074	0	0	0	0	0.102	0.805	0.360	0.674	0.958
WDR5	TAF1	1853715	1846471	9606.ENSP00000351446	9606.ENSP00000276072	0	0	0	0	0.102	0.474	0.900	0.227	0.958
TADA2B	TAF1	1849028	1846471	9606.ENSP00000308022	9606.ENSP00000276072	0	0	0	0	0.159	0.922	0	0.401	0.957
HDAC2	TBP	1861837	1843249	9606.ENSP00000430432	9606.ENSP00000230354	0.063	0	0	0	0.056	0	0.900	0.573	0.957
TAF1L	TADA3	1861354	1848982	9606.ENSP00000418379	9606.ENSP00000307684	0	0	0	0	0.086	0.937	0	0.300	0.956
XAB2	LSM6	1853674	1847758	9606.ENSP00000351137	9606.ENSP00000296581	0	0	0	0	0.060	0.526	0.900	0.138	0.956
XAB2	PRPF6	1853674	1845854	9606.ENSP00000351137	9606.ENSP00000266079	0	0	0	0	0.480	0	0.900	0.202	0.954
TAF1L	TADA2A	1861354	1843019	9606.ENSP00000418379	9606.ENSP00000225396	0	0	0	0	0.115	0.922	0	0.388	0.954
HIST2H3A	MLL3	1859040	1845086	9606.ENSP00000385479	9606.ENSP00000262189	0	0	0	0	0.054	0.496	0.900	0.161	0.954
SMARCA1	SMARCC2	1855408	1845915	9606.ENSP00000360163	9606.ENSP00000267064	0	0	0	0	0.351	0.870	0	0.502	0.954
SMARCA5	SMARCC2	1846833	1845915	9606.ENSP00000283131	9606.ENSP00000267064	0	0	0	0	0.351	0.870	0	0.500	0.954
HIST2H3A	MLL2	1859040	1848242	9606.ENSP00000385479	9606.ENSP00000301067	0	0	0	0	0.054	0.496	0.900	0.161	0.954
TAF1L	TADA2B	1861354	1849028	9606.ENSP00000418379	9606.ENSP00000308022	0	0	0	0	0.115	0.922	0	0.388	0.954
SETD1B	SETD1A	1845925	1845165	9606.ENSP00000267197	9606.ENSP00000262519	0	0	0	0.684	0.089	0.394	0.900	0.786	0.954
BPTF	NUDT12	1848931	1843266	9606.ENSP00000307208	9606.ENSP00000230792	0	0	0	0	0.053	0.953	0	0	0.953
CDC5L	LSM6	1855491	1847758	9606.ENSP00000360532	9606.ENSP00000296581	0	0	0	0	0.138	0.379	0.900	0.212	0.952
EHMT2	MTA1	1856323	1851603	9606.ENSP00000364687	9606.ENSP00000333633	0	0	0	0	0.055	0.130	0.900	0.468	0.950
RBBP7	NCOR1	1857150	1846039	9606.ENSP00000369424	9606.ENSP00000268712	0	0	0	0	0	0.194	0.900	0.432	0.950
MLL	TAF1	1862045	1846471	9606.ENSP00000436786	9606.ENSP00000276072	0	0	0	0	0.264	0.203	0.900	0.260	0.950
MLL	TAF6	1862045	1860193	9606.ENSP00000436786	9606.ENSP00000399982	0	0	0	0	0	0.514	0.900	0.050	0.949
PPP2R2D	PPP2R5A	1860192	1844916	9606.ENSP00000399970	9606.ENSP00000261461	0	0	0	0	0.102	0.435	0.720	0.686	0.949
EHMT2	TBP	1856323	1843249	9606.ENSP00000364687	9606.ENSP00000230354	0	0	0	0	0.074	0.170	0.900	0.390	0.946
HIST3H3	ASH2L	1854433	1852381	9606.ENSP00000355657	9606.ENSP00000340896	0	0	0	0	0.054	0.329	0.900	0.260	0.946
EHMT2	RBBP4	1856323	1855919	9606.ENSP00000364687	9606.ENSP00000362592	0	0	0	0	0.055	0.170	0.900	0.392	0.945
RBBP7	EHMT2	1857150	1856323	9606.ENSP00000369424	9606.ENSP00000364687	0	0	0	0	0.055	0.170	0.900	0.385	0.945
MLL	DPY30	1862045	1847527	9606.ENSP00000436786	9606.ENSP00000295066	0	0	0	0	0	0.147	0.900	0.404	0.944
NCOR1	KAT2A	1846039	1843061	9606.ENSP00000268712	9606.ENSP00000225916	0	0	0	0	0.130	0.054	0.900	0.391	0.943
MLL2	MLL3	1848242	1845086	9606.ENSP00000301067	9606.ENSP00000262189	0	0	0	0.649	0.128	0.173	0.900	0.789	0.943
HIST3H3	SMARCA5	1854433	1846833	9606.ENSP00000355657	9606.ENSP00000283131	0	0	0	0	0.056	0.188	0.900	0.342	0.942
NCOR1	MLL3	1846039	1845086	9606.ENSP00000268712	9606.ENSP00000262189	0	0	0	0	0.251	0.122	0.900	0.225	0.942
HIST3H3	RBBP5	1854433	1845562	9606.ENSP00000355657	9606.ENSP00000264515	0	0	0	0	0.052	0.366	0.900	0.148	0.942
TAF6	TADA2B	1860193	1849028	9606.ENSP00000399982	9606.ENSP00000308022	0	0	0	0	0.092	0.672	0.720	0.391	0.942
HIST2H3A	SMARCA5	1859040	1846833	9606.ENSP00000385479	9606.ENSP00000283131	0	0	0	0	0.056	0.188	0.900	0.342	0.942
TAF5	TADA2B	1855115	1849028	9606.ENSP00000358854	9606.ENSP00000308022	0	0	0	0	0.092	0.690	0.720	0.346	0.941
PRPF19	NHP2L1	1843119	1842526	9606.ENSP00000227524	9606.ENSP00000215956	0	0	0	0	0.176	0.094	0.900	0.309	0.941
HDAC1	HIST1H4A	1855935	1853925	9606.ENSP00000362649	9606.ENSP00000352980	0.309	0	0	0	0.053	0.460	0	0.854	0.941
WDR82	DPY30	1847739	1847527	9606.ENSP00000296490	9606.ENSP00000295066	0	0	0	0	0.055	0.094	0.900	0.383	0.940
H3F3B	ASF1A	1844327	1843214	9606.ENSP00000254810	9606.ENSP00000229595	0	0	0	0	0.097	0.820	0	0.664	0.940
HIST2H3A	TBP	1859040	1843249	9606.ENSP00000385479	9606.ENSP00000230354	0	0	0	0	0.054	0.061	0.900	0.398	0.939
HDAC2	HIST1H4A	1861837	1853925	9606.ENSP00000430432	9606.ENSP00000352980	0.309	0	0	0	0.053	0.459	0	0.847	0.939
HAT1	ASF1A	1845481	1843214	9606.ENSP00000264108	9606.ENSP00000229595	0	0	0	0	0.437	0.833	0	0.398	0.938
MLL2	NCOR1	1848242	1846039	9606.ENSP00000301067	9606.ENSP00000268712	0	0	0	0	0.180	0.122	0.900	0.229	0.937
POLE3	SMARCA1	1856055	1855408	9606.ENSP00000363284	9606.ENSP00000360163	0	0	0	0	0.098	0.807	0	0.667	0.937
HIST2H3A	KDM4C	1859040	1857360	9606.ENSP00000385479	9606.ENSP00000370710	0	0	0	0	0.054	0.374	0.900	0.065	0.937
RBBP4	WDR5	1855919	1853715	9606.ENSP00000362592	9606.ENSP00000351446	0	0	0	0.664	0.269	0.098	0.900	0.349	0.936
EHMT2	MTA2	1856323	1846587	9606.ENSP00000364687	9606.ENSP00000278823	0	0	0	0	0.054	0.357	0.900	0.078	0.936
RBBP7	WDR5	1857150	1853715	9606.ENSP00000369424	9606.ENSP00000351446	0	0	0	0.672	0.269	0.098	0.900	0.366	0.936
MLL	TAF9	1862045	1842675	9606.ENSP00000436786	9606.ENSP00000217893	0	0	0	0	0.056	0.336	0.900	0.088	0.935
H3F3A	HAT1	1854454	1845481	9606.ENSP00000355778	9606.ENSP00000264108	0	0	0	0	0.054	0.668	0.800	0.096	0.935
BAZ1A	BPTF	1853982	1848931	9606.ENSP00000353458	9606.ENSP00000307208	0	0	0	0.609	0.188	0	0.900	0.620	0.935
TAF2	TADA3	1856824	1848982	9606.ENSP00000367406	9606.ENSP00000307684	0	0	0	0	0.073	0	0.900	0.356	0.935
CDC5L	PRPF6	1855491	1845854	9606.ENSP00000360532	9606.ENSP00000266079	0	0	0	0	0.184	0.122	0.900	0.179	0.933
HIST2H3A	RBBP5	1859040	1845562	9606.ENSP00000385479	9606.ENSP00000264515	0	0	0	0	0.052	0.270	0.900	0.148	0.933
HIST2H3A	MTA1	1859040	1851603	9606.ENSP00000385479	9606.ENSP00000333633	0	0	0	0	0	0.359	0.900	0	0.933
HIST3H3	MLL2	1854433	1848242	9606.ENSP00000355657	9606.ENSP00000301067	0	0	0	0	0.054	0.259	0.900	0.161	0.933
HIST1H3J	HIST1H3A	1853820	1853568	9606.ENSP00000352252	9606.ENSP00000350275	0	0	0	0.989	0	0.360	0.900	0	0.933
HIST3H3	HAT1	1854433	1845481	9606.ENSP00000355657	9606.ENSP00000264108	0	0	0	0	0.054	0.668	0.800	0.064	0.933
TAF6	WDR5	1860193	1853715	9606.ENSP00000399982	9606.ENSP00000351446	0	0	0	0	0.141	0.231	0.900	0.097	0.932
SMARCA5	SMARCC1	1846833	1844297	9606.ENSP00000283131	9606.ENSP00000254480	0	0	0	0	0.351	0.767	0	0.589	0.932
SF3B1	LSM6	1851836	1847758	9606.ENSP00000335321	9606.ENSP00000296581	0	0	0	0	0.060	0.304	0.900	0.095	0.932
RBBP4	RBBP5	1855919	1845562	9606.ENSP00000362592	9606.ENSP00000264515	0	0	0	0	0.172	0	0.900	0.234	0.931
RBBP7	RBBP5	1857150	1845562	9606.ENSP00000369424	9606.ENSP00000264515	0	0	0	0	0.172	0	0.900	0.229	0.930
HIST1H3C	ASF1A	1862129	1843214	9606.ENSP00000439493	9606.ENSP00000229595	0	0	0	0	0.097	0.733	0	0.733	0.930
HIST1H3E	ASF1A	1854001	1843214	9606.ENSP00000353581	9606.ENSP00000229595	0	0	0	0	0.097	0.733	0	0.733	0.930
C17orf49	HMGXB4	1862521	1842544	9606.ENSP00000448598	9606.ENSP00000216106	0	0	0	0	0	0.134	0.900	0.248	0.929
RBBP4	MLL2	1855919	1848242	9606.ENSP00000362592	9606.ENSP00000301067	0	0	0	0	0.053	0.170	0.900	0.208	0.929
HIST2H3A	TADA3	1859040	1848982	9606.ENSP00000385479	9606.ENSP00000307684	0	0	0	0	0	0.094	0.900	0.267	0.927
HIST2H3A	WDR5	1859040	1853715	9606.ENSP00000385479	9606.ENSP00000351446	0	0	0	0	0.052	0.089	0.900	0.260	0.927
RBBP7	ASH2L	1857150	1852381	9606.ENSP00000369424	9606.ENSP00000340896	0	0	0	0	0.091	0	0.900	0.251	0.926
RBBP7	MLL2	1857150	1848242	9606.ENSP00000369424	9606.ENSP00000301067	0	0	0	0	0.053	0.170	0.900	0.177	0.926
WDR5	TAF7	1853715	1849570	9606.ENSP00000351446	9606.ENSP00000312709	0	0	0	0	0.074	0.231	0.900	0.081	0.925
SF3B1	KAT2A	1851836	1843061	9606.ENSP00000335321	9606.ENSP00000225916	0	0	0	0	0.180	0	0.900	0.149	0.924
HIST2H3A	ASH2L	1859040	1852381	9606.ENSP00000385479	9606.ENSP00000340896	0	0	0	0	0.054	0.046	0.900	0.260	0.924
RBBP7	TBP	1857150	1843249	9606.ENSP00000369424	9606.ENSP00000230354	0	0	0	0	0.087	0.069	0.900	0.201	0.923
RBBP4	ASH2L	1855919	1852381	9606.ENSP00000362592	9606.ENSP00000340896	0	0	0	0	0.091	0	0.900	0.224	0.923
RBBP4	MLL3	1855919	1845086	9606.ENSP00000362592	9606.ENSP00000262189	0	0	0	0	0.053	0.170	0.900	0.134	0.922
RBBP4	CECR2	1855919	1845180	9606.ENSP00000362592	9606.ENSP00000262608	0	0	0	0	0.110	0.114	0.900	0.128	0.922
HIST2H3A	SMARCC2	1859040	1845915	9606.ENSP00000385479	9606.ENSP00000267064	0	0	0	0	0.055	0.190	0.900	0.092	0.921
HIST2H3A	SMARCC1	1859040	1844297	9606.ENSP00000385479	9606.ENSP00000254480	0	0	0	0	0.055	0.190	0.900	0.092	0.921
SF3B1	NHP2L1	1851836	1842526	9606.ENSP00000335321	9606.ENSP00000215956	0	0	0	0	0.062	0	0.900	0.233	0.921
RBBP7	MLL3	1857150	1845086	9606.ENSP00000369424	9606.ENSP00000262189	0	0	0	0	0.053	0.170	0.900	0.124	0.921
PPP2CA	WDR82	1861358	1847739	9606.ENSP00000418447	9606.ENSP00000296490	0	0	0	0	0.101	0.193	0.900	0.051	0.921
